feature,importance
cases_roll4w_mean,0.05994169431906346
week_cos,0.05352796076038381
cases_lag3w,0.052858457284900164
cases_roll8w_mean,0.05268178946885659
cases_lag1w,0.0424783370821882
cases_lag2w,0.04230953150275416
cases,0.04148418982557522
month_cos,0.04106960964931986
incidence_rate_100k,0.040480851084772985
cases_lag4w,0.039411784063971146
cases_roll4w_std,0.023986907883482983
cases_roll12w_mean,0.0227894614305993
cases_roll8w_std,0.021797776131887176
outbreak_risk_index_lag1w,0.016528325126431088
outbreak_risk_index_lag2w,0.015000649946935445
week,0.014807404865146992
week_sin,0.014022632837201305
rainfall_mm,0.01088024990991346
outbreak_risk_index_lag4w,0.010708959372779651
cases_roll12w_std,0.010539733418692713
rainfall_mm_roll4w_std,0.010338053392256522
cases_lag8w,0.010192869783536469
outbreak_risk_index_lag3w,0.0101057483448856
rainfall_mm_roll4w_mean,0.009626063422639965
rainfall_mm_lag3w,0.009550284180408238
rainfall_mm_lag1w,0.009393367260665194
rainfall_mm_lag8w,0.009326508408169568
month,0.009181624710341896
rainfall_mm_lag4w,0.009048315777733547
wind_speed_kmh,0.008809377134383112
